# GA4 property,Sean Davis — web
# date range,2024-05-26 to 2026-06-22
"# SITE-WIDE (de-duplicated by GA4, not a column sum)",screenPageViews=14464,activeUsers=2234,totalUsers=2237
pagePath,screenPageViews,activeUsers,totalUsers,userEngagementDuration
/single_cell/concepts,5,4,4,1137
/010_rstudio_and_r.html,4,2,2,67
/2024-11-13-big-data-storage-formats/index.html,4,1,1,79
/2025-09-29-brief-history-ai-idpt-8079/index.html,4,1,1,25
/BiocBuildDB/LICENSE.html,4,4,4,0
/BiocBuildDB/articles/BiocBuildDB-use-cases.html,4,2,2,302
/BiocBuildDB/reference/report_last_mod_db.html,4,4,4,0
/RBiocBook/machine_learning_mlr3.html,4,3,3,32
/architecture/domain-structure/,4,3,3,6
/atac-seq/atac-seq,4,4,4,359
/bioc-summarizedexperiment,4,1,1,205
/dataframes_intro.html,4,2,2,106
/deployment/gcp/,4,2,2,188
/deployment/oauth2-proxy/,4,1,1,107
/flatiron_details/data_model_nsclc.html,4,3,3,26
/genomic_ranges,4,2,2,107
/matrices.html,4,2,2,100
/r_basics.html,4,2,2,175
/rproj_and_save_load.html,4,1,1,39
/talks/test-me/index.html,4,1,1,27
/vectors.html,4,2,2,396
/BiocBuildDB/reference/get_all_bbs_tables.html,3,3,3,0
/BiocBuildDB/reference/get_propagation_status_table.html,3,3,3,0
/IDPT-8079/talks/prompt-engineering/prompt-engineering.html,3,3,3,22
/RBiocBook/contributors.html,3,3,3,22
/additional_resources.html,3,2,2,35
/bioc-summarizedexperiment.html,3,2,2,91
/docs/deployment/gcp/,3,1,1,5
/docs/deployment/helm/,3,2,2,35
/docs/deployment/ingress/,3,1,1,15
/docs/deployment/oauth2-proxy/,3,1,1,9
/dplyr_intro_msleep.html,3,2,2,195
/eda.html,3,1,1,75
/git_and_github.html,3,2,2,21
/icc-eval-reports/dcc-kidsfirst.html,3,2,2,96
/intro.html,3,2,2,15
/lists.html,3,1,1,13
/machine_learning_mlr3.html,3,1,1,293
/norm.html,3,2,2,129
/packages_and_dice.html,3,3,3,65
/talks/2024-09-19-ai-history/,3,2,2,91
/talks/2024-10-17-prompt-engineering/,3,1,1,22
/user-guide/creating-workshops/,3,3,3,7
/045_loading_data.html,2,2,2,97
/2024-11-06-deep-learning-intro/,2,2,2,106
/2024-11-13-big-data-storage-formats copy/,2,2,2,16
/2024-11-13-big-data-storage-formats copy/index.html,2,1,1,5
/2024-11-13-big-data-storage-formats/,2,2,2,13
/IDPT-8079/Exercises/pubmed.html,2,2,2,2
/IDPT-8079/about.html,2,2,2,1
/IDPT-8079/book/attic-learning-objectives-by-chapter.html,2,2,2,5
/IDPT-8079/book/history-of-ai.html,2,2,2,11
/IDPT-8079/book/index.html,2,2,2,3
/IDPT-8079/book/intro.html,2,2,2,2
/IDPT-8079/book/ml-overview.html,2,2,2,4
/IDPT-8079/book/nlp-section/llms.html,2,2,2,11
/IDPT-8079/book/nlp-section/word-embeddings.html,2,2,2,15
/IDPT-8079/book/references.html,2,2,2,1
/IDPT-8079/book/summary.html,2,2,2,1
/IDPT-8079/index.html,2,2,2,5
/IDPT-8079/r_basics.html,2,2,2,10
/IDPT-8079/talks/ai-history/index.html,2,2,2,14
/IDPT-8079/talks/ai-in-medical-education/index.html,2,2,2,9
/IDPT-8079/talks/llm-2.html,2,2,2,12
/IDPT-8079/talks/llm-intro.html,2,2,2,9
/IDPT-8079/talks/med-qa/index.html,2,2,2,12
/IDPT-8079/talks/med-qa/medical-question-answering.html,2,2,2,8
/IDPT-8079/talks/ml-fairness/index.html,2,2,2,13
/IDPT-8079/talks/ml-intro/index.html,2,2,2,16
/IDPT-8079/talks/ojs-test.html,2,2,2,4
/IDPT-8079/talks/prompt-engineering.html,2,2,2,15
/IDPT-8079/talks/test-me/index.html,2,2,2,14
/IDPT-8079/talks/word-embedding-exercises.html,2,2,2,4
/RBiocBook/index.html,2,2,2,16
/additional_resources,2,2,2,28
/architecture/authorization/,2,1,1,8
/architecture/components/,2,2,2,5
/campus-llm-kb/index.html,2,2,2,4
/data_structures_overview.html,2,2,2,25
/dataviz.html,2,1,1,26
/deployment/ingress/,2,2,2,53
/docs/architecture/authentication/,2,1,1,9
/docs/development/local-development/,2,1,1,3
/docs/getting-started/installation/,2,1,1,2
/flatiron_details/references.html,2,2,2,11
/geoquery,2,1,1,4
/geoquery.html,2,1,1,191
/ggplot.html,2,1,1,74
/machine_learning/ml_cancer,2,2,2,403
/machine_learning/ml_expression,2,2,2,574
/machine_learning/ml_methylation_age,2,2,2,318
/matrix_exercises,2,1,1,6
/omicidxr/reference/OmicidxClient.html,2,1,1,353
/ranges_exercises,2,2,2,19
/ranges_exercises.html,2,1,1,220
/t-stats-and-tests.html,2,1,1,66
/talks/2023-11-03-Monroe-AI-ML/,2,1,1,77
/talks/2024-10-23-ai-in-medical-education/,2,2,2,48
/talks/ai-history/index.html,2,1,1,33
/talks/med-qa/index.html,2,1,1,80
/050_r_scripts.html,1,1,1,26
/2024-11-06-deep-learning-intro/index.html,1,1,1,0
/2024-11-12-word-embeddings-basis-for-llms/,1,1,1,199
/2024-r-intro-bigcare/index.html,1,1,1,0
/2025-09-29-brief-history-ai-idpt-8079/,1,1,1,4
/BiocBuildDB/authors.html,1,1,1,5
/BiocBuildDB/reference/get_bbs_table.html,1,1,1,0
/BiocBuildDB/reference/get_package_release_info.html,1,1,1,0
/BiocBuildDB/reference/index.html,1,1,1,5
/BiocBuildDB/reference/package_failures_over_time.html,1,1,1,25
/RBiocBook,1,1,1,0
/adr/0001-oauth2-proxy-at-ingress/,1,1,1,7
/adr/0002-spec-owner-on-crd/,1,1,1,5
/adr/0003-helm-as-install-method/,1,1,1,0
/ai_tools,1,1,1,51
/book/ml-overview.html,1,1,1,6
/classes.html,1,1,1,12
/comparison_options,1,1,1,29
/contributors,1,1,1,27
/control_statements,1,1,1,12
/control_statements.html,1,1,1,26
/deployment/helm/,1,1,1,32
/docs/architecture/authorization/,1,1,1,2
/docs/architecture/components/,1,1,1,2
/docs/development/contributing/,1,1,1,1
/docs/user-guide/creating-workshops/,1,1,1,2
/eda_overview.html,1,1,1,1
/favicon.svg,1,1,1,1
/flatiron_details/part_flatiron_models.html,1,1,1,43
/framework.html,1,1,1,4
/genomic_ranges_chipseq,1,1,1,12
/icc-eval-reports/center-cwic.html,1,1,1,0
/icc-eval-reports/center-icc.html,1,1,1,2
/icc-eval-reports/center-kc.html,1,1,1,2
/icc-eval-reports/center-tc.html,1,1,1,1
/icc-eval-reports/summary.html,1,1,1,22
/intro_to_rstudio,1,1,1,3
/literate_programming,1,1,1,573
/machine_learning/intro,1,1,1,72
/machine_learning/mlr3verse_intro,1,1,1,357
/machine_learning/models,1,1,1,253
/matrices,1,1,1,14
/matrix_exercises.html,1,1,1,7
/med-qa/,1,1,1,1
/omicidxr/index.html,1,1,1,7
/omicidxr/reference/connect_omicidx.html,1,1,1,8
/omicidxr/reference/list_tables.html,1,1,1,0
/packages_and_dice,1,1,1,52
/packages_and_simulation,1,1,1,18
/r_basics,1,1,1,40
/r_intro_mechanics,1,1,1,28
/ranges_and_signals.html,1,1,1,40
/reading_and_writing,1,1,1,33
/rproj_and_save_load,1,1,1,95
/sampling_and_functions,1,1,1,318
/talks/2022-09-06-CU-SOM-AI-ML-intro/,1,1,1,0
/talks/2023-07-11-CSHLData-AI-ML-intro/,1,1,1,0
/talks/2023-11-27-CUNY-json-data/,1,1,1,13
/talks/ojs-test.html,1,1,1,10
/tech-examples/llm-intro.html,1,1,1,29
/visualization_guide,1,1,1,7
